                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.81284,                0.80934,                 1.2428,                0.92294,                0.90455,                0.93948,                0.72058,                0.88425,                0.66937,                 1.3945,              0.0015581,              0.0015581,              0.0015581
                     36,                0.84322,                0.86207,                 1.2602,                0.90729,                0.83881,                0.93424,                0.71163,                0.83836,                0.74322,                  1.352,              0.0015548,              0.0015548,              0.0015548
                     37,                0.82725,                0.82706,                 1.2432,                 0.9036,                0.88892,                0.94139,                0.72207,                0.82115,                0.70562,                  1.339,              0.0015515,              0.0015515,              0.0015515
                     38,                0.85358,                0.85897,                 1.2734,                0.90203,                0.89415,                0.94764,                0.71731,                0.86928,                0.68187,                  1.374,              0.0015482,              0.0015482,              0.0015482
                     39,                0.82247,                0.81982,                 1.2508,                 0.9036,                 0.8514,                0.94736,                0.72386,                 0.8148,                0.68436,                 1.3471,              0.0015449,              0.0015449,              0.0015449
                     40,                0.78653,                0.77439,                 1.2178,                 0.8579,                0.93489,                0.94919,                0.73643,                0.79003,                0.64414,                 1.3293,              0.0015416,              0.0015416,              0.0015416
                     41,                0.77629,                0.74748,                  1.218,                0.90075,                0.89258,                0.94446,                0.70868,                0.87261,                0.65591,                 1.4014,              0.0015383,              0.0015383,              0.0015383
                     42,                0.83311,                0.85908,                 1.2638,                0.82729,                  0.862,                0.88267,                0.68455,                0.89102,                0.78092,                 1.4668,               0.001535,               0.001535,               0.001535
                     43,                 0.7983,                0.84276,                 1.2257,                0.92534,                0.86444,                 0.9439,                0.72675,                0.85895,                 0.6757,                 1.3645,              0.0015317,              0.0015317,              0.0015317
                     44,                0.79379,                0.76804,                 1.2158,                0.87483,                0.87052,                0.91878,                0.70215,                0.87505,                 0.7161,                  1.402,              0.0015284,              0.0015284,              0.0015284
                     45,                0.75897,                 0.7623,                 1.2181,                0.90715,                0.85771,                0.94028,                0.74277,                0.80984,                0.63092,                 1.3503,              0.0015251,              0.0015251,              0.0015251
                     46,                0.80414,                0.79177,                 1.2454,                0.87118,                0.88115,                 0.9057,                0.71502,                0.82115,                0.72352,                  1.348,              0.0015218,              0.0015218,              0.0015218
                     47,                0.76839,                0.75175,                 1.2114,                0.88916,                0.89393,                0.94516,                0.75005,                0.76075,                0.65048,                 1.2805,              0.0015185,              0.0015185,              0.0015185
                     48,                0.75186,                0.77405,                 1.2056,                 0.8833,                0.87087,                0.94509,                0.73331,                0.78267,                0.60324,                 1.3161,              0.0015152,              0.0015152,              0.0015152
                     49,                0.73781,                0.73783,                 1.1885,                0.94254,                0.87546,                0.96371,                0.75082,                0.79549,                0.59328,                 1.3431,              0.0015119,              0.0015119,              0.0015119
                     50,                0.75984,                0.72546,                 1.1982,                0.90851,                0.93649,                0.97157,                0.76862,                0.74895,                0.54849,                 1.2635,              0.0015086,              0.0015086,              0.0015086
                     51,                0.75198,                0.69441,                  1.196,                0.92507,                0.91666,                0.95822,                0.75383,                 0.7768,                0.61029,                 1.2939,              0.0015053,              0.0015053,              0.0015053
                     52,                0.75397,                0.72364,                 1.1938,                0.94191,                0.90139,                 0.9598,                0.76047,                 0.7456,                 0.5687,                 1.2682,               0.001502,               0.001502,               0.001502
                     53,                 0.7265,                0.71436,                 1.1811,                0.96911,                0.90128,                0.95812,                  0.757,                 0.7832,                0.55894,                 1.3041,              0.0014987,              0.0014987,              0.0014987
                     54,                0.73514,                0.68751,                 1.1812,                0.93694,                0.91224,                 0.9644,                0.77928,                0.75143,                0.54791,                 1.2842,              0.0014954,              0.0014954,              0.0014954
                     55,                0.72148,                0.67617,                  1.157,                0.90035,                0.88692,                0.94064,                0.75643,                0.76673,                0.58544,                 1.2861,              0.0014921,              0.0014921,              0.0014921
                     56,                0.72568,                0.68895,                 1.1827,                0.96117,                0.90114,                0.96979,                0.78515,                 0.7348,                0.55681,                 1.2472,              0.0014888,              0.0014888,              0.0014888
                     57,                0.71575,                0.69033,                 1.1636,                0.96994,                 0.8655,                0.95994,                 0.7754,                0.74337,                0.57149,                 1.2622,              0.0014855,              0.0014855,              0.0014855
                     58,                0.73084,                0.68684,                 1.1741,                0.93221,                0.92159,                0.96126,                0.75863,                0.77891,                0.58701,                 1.3188,              0.0014822,              0.0014822,              0.0014822
                     59,                0.69386,                0.66531,                 1.1585,                0.90331,                0.89848,                0.93251,                0.75457,                0.74266,                0.59381,                 1.2886,              0.0014789,              0.0014789,              0.0014789
                     60,                0.69763,                0.68922,                 1.1712,                0.96433,                0.89305,                0.96306,                0.75501,                0.77642,                0.56415,                 1.3052,              0.0014756,              0.0014756,              0.0014756
                     61,                0.71536,                  0.678,                 1.1647,                0.93975,                0.89662,                0.96236,                0.76774,                0.77079,                0.57615,                 1.2901,              0.0014723,              0.0014723,              0.0014723
                     62,                0.70891,                0.66199,                 1.1508,                0.92225,                0.91904,                0.96627,                0.77495,                 0.7286,                0.55113,                 1.2622,               0.001469,               0.001469,               0.001469
                     63,                0.72341,                0.70582,                 1.1807,                0.92299,                0.90989,                0.96948,                0.78734,                0.73048,                0.54251,                 1.2567,              0.0014657,              0.0014657,              0.0014657
                     64,                0.68893,                0.65697,                 1.1524,                0.91911,                0.89398,                0.95121,                0.75325,                0.73395,                0.57911,                 1.2878,              0.0014624,              0.0014624,              0.0014624
                     65,                0.69599,                0.65168,                 1.1638,                 0.8928,                0.91458,                0.94706,                0.75452,                0.75874,                0.55967,                 1.2887,              0.0014591,              0.0014591,              0.0014591
                     66,                0.65608,                0.64524,                 1.1354,                0.90205,                0.84794,                0.93319,                0.75141,                 0.7582,                0.59769,                 1.2919,              0.0014558,              0.0014558,              0.0014558
                     67,                0.66579,                0.64727,                 1.1319,                0.92022,                0.93563,                0.96731,                0.76949,                0.78073,                0.55813,                 1.3217,              0.0014525,              0.0014525,              0.0014525
                     68,                0.66411,                0.61948,                 1.1224,                0.92147,                0.94367,                0.96988,                0.78553,                0.69375,                0.50397,                  1.212,              0.0014492,              0.0014492,              0.0014492
                     69,                0.70041,                0.66493,                 1.1631,                0.94458,                0.92618,                0.96673,                0.77223,                0.75038,                0.52379,                 1.2654,              0.0014459,              0.0014459,              0.0014459
                     70,                0.70653,                0.65438,                 1.1631,                0.90881,                0.88931,                0.95464,                0.76715,                0.71468,                 0.5812,                 1.2513,              0.0014426,              0.0014426,              0.0014426
                     71,                0.64114,                0.61571,                 1.1228,                0.93738,                0.87782,                0.95754,                0.76182,                0.74085,                0.55781,                 1.2805,              0.0014393,              0.0014393,              0.0014393
                     72,                 0.6538,                0.60771,                   1.13,                0.91335,                0.94208,                0.96947,                0.78959,                0.67662,                0.52761,                  1.225,               0.001436,               0.001436,               0.001436
                     73,                0.63402,                0.58939,                 1.1054,                0.94983,                 0.9108,                0.96732,                0.78951,                0.70198,                0.52602,                 1.2444,              0.0014327,              0.0014327,              0.0014327
                     74,                0.66772,                0.61762,                 1.1267,                 0.9617,                0.89736,                0.97205,                0.79485,                0.69269,                0.50294,                 1.2316,              0.0014294,              0.0014294,              0.0014294
                     75,                0.66101,                0.63991,                 1.1234,                 0.9427,                0.92273,                0.96932,                0.78766,                0.72657,                 0.5308,                 1.2644,              0.0014261,              0.0014261,              0.0014261
                     76,                0.66232,                0.60444,                  1.123,                0.94455,                0.93188,                0.97347,                0.78249,                0.73036,                0.51673,                  1.282,              0.0014228,              0.0014228,              0.0014228
                     77,                0.64862,                0.59152,                 1.1348,                0.92385,                0.94363,                0.97635,                 0.8118,                0.66496,                0.46912,                 1.2022,              0.0014195,              0.0014195,              0.0014195
                     78,                0.61741,                0.55922,                 1.1056,                0.93903,                0.94183,                0.97759,                0.80641,                0.66241,                0.45126,                 1.1983,              0.0014161,              0.0014161,              0.0014161
                     79,                0.59778,                0.54569,                 1.0836,                0.98296,                0.90573,                0.96916,                0.79944,                0.67576,                 0.5091,                 1.2077,              0.0014128,              0.0014128,              0.0014128
                     80,                0.63638,                 0.5854,                 1.1162,                0.94337,                0.90774,                0.96185,                0.79709,                0.67556,                0.52361,                 1.2196,              0.0014095,              0.0014095,              0.0014095
                     81,                0.64094,                0.59587,                 1.1181,                0.90683,                0.91919,                0.95955,                0.78762,                0.68025,                0.54744,                 1.2125,              0.0014062,              0.0014062,              0.0014062
                     82,                0.63628,                0.58147,                 1.1113,                0.92257,                0.93544,                 0.9669,                0.77957,                 0.7094,                0.53533,                  1.258,              0.0014029,              0.0014029,              0.0014029
                     83,                0.64074,                 0.5966,                 1.1119,                0.93233,                0.92219,                0.97338,                0.79564,                0.69314,                0.49675,                  1.233,              0.0013996,              0.0013996,              0.0013996
                     84,                0.62393,                0.55217,                 1.1083,                0.90355,                0.91038,                0.94675,                0.77993,                0.71157,                0.52962,                 1.2372,              0.0013963,              0.0013963,              0.0013963
                     85,                0.62908,                0.56522,                 1.1127,                0.95129,                0.90399,                 0.9575,                0.79371,                0.67286,                0.51978,                  1.197,               0.001393,               0.001393,               0.001393
                     86,                 0.6404,                0.58839,                 1.1042,                0.90696,                0.93076,                0.96171,                0.79116,                0.68437,                0.49543,                 1.2097,              0.0013897,              0.0013897,              0.0013897
                     87,                0.63454,                0.60013,                 1.1076,                0.92389,                0.93094,                0.96587,                0.80226,                 0.6516,                0.48515,                 1.1934,              0.0013864,              0.0013864,              0.0013864
