                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.72327,                0.77502,                   1.17,                0.91654,                0.93308,                0.96109,                 0.7781,                0.72422,                0.62043,                  1.262,              0.0011224,              0.0011224,              0.0011224
                     36,                0.71228,                0.75207,                 1.1726,                0.95054,                 0.8857,                0.96199,                0.75247,                0.78305,                0.65244,                 1.3086,              0.0011059,              0.0011059,              0.0011059
                     37,                0.74251,                0.78697,                 1.1883,                0.87783,                0.87538,                0.92751,                0.72571,                0.77947,                0.70685,                 1.3515,              0.0010894,              0.0010894,              0.0010894
                     38,                0.71207,                0.71237,                  1.167,                0.95486,                0.91233,                0.97202,                0.79995,                0.67789,                0.55383,                 1.2084,              0.0010729,              0.0010729,              0.0010729
                     39,                0.70028,                0.74296,                 1.1668,                0.92448,                0.89124,                0.95643,                0.76108,                0.73962,                0.62466,                 1.2649,              0.0010564,              0.0010564,              0.0010564
                     40,                0.71933,                0.73462,                 1.1719,                0.90645,                0.91233,                0.96009,                0.79071,                0.68812,                0.57911,                  1.206,              0.0010399,              0.0010399,              0.0010399
                     41,                 0.6923,                0.69933,                 1.1583,                0.92907,                0.91862,                0.97296,                0.79279,                0.67622,                0.55961,                 1.2238,              0.0010234,              0.0010234,              0.0010234
                     42,                0.70652,                0.70761,                 1.1521,                0.92899,                0.92873,                0.96928,                0.79737,                0.67014,                0.55352,                 1.2026,              0.0010069,              0.0010069,              0.0010069
                     43,                0.66997,                0.66359,                 1.1264,                0.93579,                0.92168,                0.96696,                0.79704,                0.67113,                0.54911,                  1.194,             0.00099036,             0.00099036,             0.00099036
                     44,                0.68821,                0.67769,                 1.1544,                0.92836,                0.94998,                0.97834,                0.79975,                0.68169,                0.52703,                  1.226,             0.00097386,             0.00097386,             0.00097386
                     45,                0.65024,                0.65349,                 1.1269,                0.96167,                0.92293,                0.97727,                0.80518,                 0.6805,                0.53543,                 1.2115,             0.00095736,             0.00095736,             0.00095736
                     46,                0.67278,                0.66737,                 1.1215,                0.95405,                0.91151,                0.97038,                0.77417,                0.74314,                0.57159,                 1.2574,             0.00094085,             0.00094085,             0.00094085
                     47,                0.62696,                 0.6385,                 1.1038,                 0.9123,                0.94696,                0.97671,                0.79741,                0.70553,                0.53058,                 1.2213,             0.00092435,             0.00092435,             0.00092435
                     48,                0.66262,                0.65025,                 1.1354,                0.95438,                0.89831,                0.97101,                0.79395,                0.69199,                0.53872,                 1.2139,             0.00090785,             0.00090785,             0.00090785
                     49,                0.63313,                0.62528,                 1.1174,                0.98127,                0.91507,                0.98098,                0.80596,                0.68617,                0.52043,                 1.2035,             0.00089134,             0.00089134,             0.00089134
